,Sentiment,Message
1314,0, scared
1315,0, driving sooon sunburn hurtsss
1316,0, listening chamcircuit new album signed alex
1317,0, omg news internet month
1318,4, lacyn thanx letting know check get chance computer
1319,4, altid speaking language
1320,0, missing danni aimees party
1321,4, feedly like lot thx noticed usually window like px wide twitter featured show
1322,4, weekends starts
1323,4, iancreek yep heading shortly oh well wellies waterproofs packed swim wear optimist help
1324,4, ns good luck unpacking efforts
1325,0, leaving little cousin hardly ever see lovee u fabietto lt love aunt fede lt miss themm
1326,4, im really cold tired last night lots fun theres school tomorrow im happy
1327,0, sleep somebody talk
1328,0, mandyyjirouxx pray friend dog mikey may cancer please pray
1329,0, using recycled materials project environmentally friendly paints singapore hard certify get ordered
1330,0, sjespers wish knew market stuff also wish bought adobe stock march keep though love guys
1331,4, happy sunday
1332,0, editormum edding wikipedia page sez yep another pillar library borrowing youth gone
1333,0, alliemunchkin youtube loves hd videos well maybe
1334,0, widgetty wow would love somehwere charged session like places us
1335,0, back oxford looking forward school
1336,4, andpark would def hae mary j blidge fine
1337,0, mommy burnt really hit grease wrist
1338,4, anyway tognetti vln god rathbone incredible yeah aco pretty good schoengberg transfigured night new fav
1339,0, trying freak upgrading studiometry time tracking invoicing program data missing
1340,4, jazza_uk see
1341,4, ohdoctah good boy enjoy every sip doc
1342,4, aaronrgillespie love practically worship john okay worship
1343,0, jay_ haha wait longeeeeer coz im living england t_t
1344,4, shy photo express sale etsy
1345,4, wow nice buzz patron shout outs friends
1346,4, mileycyrus wow mileyy live germany neaar know soo far pics twipic wan na see germany
1347,0, quakes lose first place mavs
1348,0, one person mr aldrin hero whole life say one sad thing much quot astronautics
1349,4, welcome fans
1350,0, police k ng
1351,4, ilanbr lol crap know even think haha ok deal enough spammers already
1352,4, shop men department wallets ladies range either bulky huge
1353,0, valie think
1354,0, oh internet bb working
1355,4, watching knowing maia
1356,0, work thank god dvr cause fell asleep tru blood sad kris
1357,0, soniamonia oh yeah read told yeah
1358,4, start working earning money bye
1359,4, brugger hi brian bronner billboards primarily michigan amp midwest one orlando area
1360,4, hiannie tiger great love voice
1361,4, someone tells u completely sold n let anyone else u wait ish n eventually get word
1362,4, anyone know tweetdeck see tweet someone replying say something arb like quot elan quot lisatalia
1363,4, baked banana cake mom happy
1364,4, fuck fuck much sometimes like lily allen
1365,4, youngq woo beantown right brother hah staying till tomorrow love
1366,0, tmjassociation hurt much even chew gum lost much weight even eat
1367,4, doombug awesomeness
1368,4, recommended mdoetjes brother besides great designer musician photographer v tellmrtweet
1369,4, hoping fast day work overwhelming one customers
1370,4, krispykremedoughnuts p tell jess deep hate donuts
1371,0, ugh bug due rounding error php client pissed already unmotivated enough need
1372,0, mikeypel stay hotel gig hope made night london anyway see june st
1373,4, davidfowl one envy code r
1374,4, kinda sucks realizing many shitty people let life past years worthy staying still
1375,0, dog pain ass morning
1376,4, laurenbanauren right whatcha doin tonight
1377,0, pikku_kyon know building know good cafes though
1378,0, boring got much uni work believe
1379,0, jeepstrs makes sad spring used favorite season cant take anymore poor nose sore
1380,4, sitting sunshine looking mountain view porch kris checked leave earlier overall really great day
1381,0, nursing injured squirrel day amp died arms long ago kids sad named hammy
1382,0, girl influenza going miss end year activities including middle school graduation
1383,0, chemicalbullets sorry still tired
1384,0, emmastone um trying post w sigh phone
1385,4, goodmorning eating breakfast
1386,0, kingju telln someone massive dormwide water fights miss days
1387,0, tomfelton chocolate day today fucking day
1388,0, crap actually going thelittleidiot exhibition tonight start tomorrow general viewing
1389,0, good news lotto bad news
1390,0, wish could smoke home
1391,0, kyro ya seen u foreverrr text u get back ky u still number
1392,0, garethslee newport gone grey
1393,4, heymeghan yeah yeah
1394,0, realized extent sunburn stings
1395,0, fck sakes grad night fcking babysit fck fck fck fck hate right
1396,4, michaeldwalker solo nice c u amp kylebuzzard fellow smtb fam members
1397,0, sarahsii love yogurtland invite feel love jk
1398,4, says goodnight
1399,0, kerrymc_uk yeah bet hate hospitals needles etc etc wimp lol keep smilin doll x
1400,4, back work blues weather nice nice get solid sleep fruit peroozer way use v little
1401,4, finally got photoshop cs thank goodness amazing boyfriends illigal downloads
1402,0, woodsmanhans cameras allowed
1403,4, daddy birthday whats everyone today
1404,0, ahh forinside isnt working
1405,4, done pm anyone interesting plans day
1406,4, dreameress hello hows going
1407,0, working
1408,0, holy shit im burnt
1409,0, arms hurt
1410,4, filmcrewshirts nice pics
1411,4, woke delivery opening first two presents today
1412,0, still cant believe dad leaving tmrrw amp gna b gone weeks
1413,0, jacquesvanr cathrynr simonebiz well gig r per k bill got lovely surprise notice fb also ticks
1414,0, miss
1415,0, mileycyrus miley song sing nick beautiful know rumors started arise
1416,4, commiewench pretty
1417,4, quot understanding apple part quot software heart saw quot pirates silicone valley quot film
1418,0, car diedddd
1419,0, convinced something diff history channel
1420,4, yeaaa days caaaaaant wait
1421,0, dressed ready hopefully get weed hr le sad lol
1422,4, many requests today show may time speak keep coming
1423,4, goodlaura need something like quot cook tater tots thermodynamics quot trick something like rickrolling science
1424,4, watching personal effects aplusk character awakard hilarious lol
1425,0, oh gosh miley didnt win
1426,0, hrpiffness bad
1427,0, continually putting work
1428,0, quot bad guy kid quot daredevil bed work
1429,0, need new sofa
1430,0, want return fallout blockbuster
1431,0, electrax still cold
1432,4, jazzy_mae yeaa defo sounds lyk plan x
1433,4, gdmpwm nice hopefully publish something future love read
1434,4, aliceadict good luck
1435,4, u guys r great peps following
1436,4, everyone go see another wonderful pixar movie
1437,0, sad rafael nadal withdrew wimbledon starts
1438,4, whats twitter feelin good bout time relax
1439,0, rode much today got blisters palms need better gloves
1440,4, bradiewebbstack awesome
1441,4, oh irony tom cruise plays quot good guy quot valkyrie takes acting imagine hitler playing good guy movies
1442,0, sucks running beta firefox run yslow
1443,0, zanado bought oakleys funny enough blue tooth
1444,0, itzsamalee yea fun awake except couldnt go outside
1445,4, love office big tuna
1446,0, kennedia run away msn send messages last one sent im guessing never got
1447,0, phones completely dunzo
1448,0, zita_s hot outfit kinda like wearing first sl nd dress boots yet
1449,4, replaced dc board pauloffame ibook success absolutely stoked first repair done working correctly
1450,0, ginoandfran oh nose bye bye time ginoandfran live gt
1451,0, still bank new pin work
1452,4, dim wit comes sort stuff stars talking dont think sceptical
1453,4, regards last message yes feast yes invited b illegal oh well happy
1454,0, figure unetbootin work
1455,0, scraped hand toyayu tended wound feel like five soooo sweet love mommy
1456,4, preparing presentation angle jules remet trophy
1457,0, ok changed girl happy wish people could see
1458,0, cliff richards shadows going tour oh recession ever end
1459,0, great feel good school spring break
1460,4, heading bed night karaoke amp hot nhl players could get used type friday
1461,4, going take sociology exam back bed
1462,4, swearing twitter soothes pretty good
1463,0, really need go bed
1464,0, seriously think need filling tooth hurts
1465,4, okay need spanish __ sleepy time nn twitterers
1466,0, face fire ahhh worth lol
1467,4, musicislifesami haha totally watching jonas tonight
1468,4, good old crowd
1469,4, inhyung subconsciously go redwings
1470,0, still looking david shopping found lots nice things buy anything
1471,0, warm today wish friends
1472,0, lizuk know love vintage editions would collect madly dosh
1473,4, saturday saturday sat ur dayyyy ayyyy ayyy ayyyyyyy hugh baby come
1474,0, heading joe leslie abode pizza without leslie
1475,4, driving greensboro noon flying orlando
1476,0, broke favorite sunglasses ride home
1477,0, debbiebarnhill plantaholic spent several thousand last years planting brothers lake cabin sold
1478,4, paulhollins get head around please let know
1479,4, may dreams sweet fall snooze
1480,0, secretplanet seems little unreasonable block still true love catch later really must go x
1481,4, paojau niceee
1482,4, cooked pancakes leaving tucson go shopping nice job interview clothes ross come
1483,0, ride nancyta non air conditioned car car get around weekend sigh
1484,4, www toutlemondesurcf blogspot com
1485,0, less days til movers come b room ready u ever felt like world crashing u thats life
1486,0, sweet ate shit bikeride w mom lewis missing chunk toe
1487,4, inzecity mood gorningue english difficult bonne journÃ£ Ã¢ e
1488,0, back work
1489,4, singing nephew n guess still crying lol guess im good singer
1490,0, mileycyrus yh get tht hate lisening climb
1491,0, think head frozen headache
1492,0, ugh really stop go home finally roll stop know stuck wake morning
1493,0, need get new phone go florida dont kind though phone bunch touch screen crap smh
1494,4, goodbye twitters see ya
1495,0, kconsidder never tweet
1496,4, maymaym adding breakfast sausage fresh sausage list things want learn make
1497,0, kirstyyl cus busy
1498,0, mattcusson oh man glad yes blah means itd hopefully find somewhere online
1499,4, finished wholesale order blythe mary jane shoes pairs lots pretty colors amp glitters
1500,4, listening officialftsk like calebftsk amp austinbello doesnt sing theyre voices sound sound great
1501,4, one sunday night helsinki drink anything xd yeah right
1502,0, trying find activities sister farkus wish would date boy
1503,4, happy announce twitterverse springer design inc pro flickr account
1504,0, linhhoang dentist hates
1505,0, around busy packing life cardiff couple days left
1506,0, home bored last day vaca tomorrow drinking rally text mehhhh
1507,0, brownsugar lol knocked last night lol mcd good though smashed checked gs extra jelly
1508,4, bombsaway lmao wan na new phone decide tell like one
1509,4, alone playing ears writing bunch random words notepad fun times
1510,0, primary school fete sunday go gon na raining
1511,0, trouble paradise really wan na move
1512,0, bed go still little sauced know worth stress anymore really missing gramma right smh
1513,0, austinhinton study physics
1514,0, yeevonchan yes miss pole nights hard find someone wants accompany pole dance
1515,0, bonniebix dying pumpkin soup dont cook
1516,4, one exam lefttttt
1517,4, benjamin button ice cream girl ask
1518,0, called sunday
1519,0, honorablecnote u aint tweetin ur self
1520,4, abbyharenberg warm sunny realised wearing red shirt really makes sunburn stand
1521,0, hayyamandarae yessssssssssss miss
1522,4, spending lot time sewing need run store get new patterns fabric
1523,0, williamorbit win nÃ£ Ã¢ Ã£ Ã¢ Ã£ Ã¢ Ã£ Ã¢ Ã£ Ã¢ Ã£ Ã¢ Ã£ Ã¢ Ã£ Ã¢ Ã£ Ã¢ Ã£ Ã¢ Ã£ Ã¢ Ã£ Ã¢ deeply depressing
1524,4, sierrawolfe even customize colors
1525,0, tpphotography exhausting drove k miles month old baby yeah work tomorrow
1526,0, whyyyy still still writing english paper think sleep every class tomorrow yah
1527,0, nannanista great nano beside feeling comfortable
1528,0, sent mail close school college friend many years ask favor disappointed
1529,4, im deep thought
1530,4, getting amp enjoying cup tea
1531,0, aibiwashere oh gawd remember used love wwf
1532,4, im little spoiled brat dont hate hacking sista gt
1533,4, cinamondolbekah av bin tht lol ther r kwl keyrings
1534,4, mlisaoverdrive yes really great
1535,4, best songs right quot crystall ball quot pink quot slow dance stranger quot danger radio quot manhattan quot kings leon yayyy
1536,0, ok got tweetdeck love look use trending topics
1537,4, back later im nap first later shawty
1538,0, inability lay
1539,4, timalmond entertaining
1540,0, trev_lucy yeah probably moving back home july parents help rent anymore even w jobs id thi k pay rent
1541,0, sublimelife uh think school ended
1542,4, bullyinguk looking forward seeing might get ice cream
1543,4, knowmeloveme thx reblip sets great mood friday night
1544,4, finished designing multiply site
1545,4, bradiewebbstack haha like default picture meow
1546,4, good morning tweeps army jumps twitter bandwagon tells personnel tweet great soldiers
1547,0, hates getting migraine attacks kills good time
1548,0, going school awhile hate afternoon classes
1549,0, joliowave nah specifically blackberry read site twitterberry ubertwitter tweetgenius made bb
1550,0, runny nose n cough hard sleep
1551,4, bonuscode cooming soon
1552,4, birthday days
1553,0, took picture mattfazzi guess come camera
1554,4, afternoon everyone
1555,4, darkcolors need another smartie food fight haha cj fanclub board
1556,0, princena think inet screwy extremely fatigued sudden feel well think going nap bit hate
1557,4, tonight last night www anthonysclub com weeks come visit money erotica next week
1558,4, bennygordon cool well definitely picking fans twitter best luck
1559,4, work hillcats game cent hot dogs haha
1560,0, jolagerlow suck
1561,0, thebellman quite messy understand solved cattle prodding people
1562,4, amp sis went cupcake house day b hour long rehearsal performances next weeks cake treat
1563,0, officialjman im sad
1564,0, clarer know feel sad
1565,4, boat video came snl
1566,0, found copy pasted code need educate people
1567,0, going bed fuck work going fun
1568,4, hanging really cool people amp unofficial house party yay wine
1569,4, lt saturdays back rehearsal cathching work week nap recover last night hair appt
1570,4, little bruvaaa god love guy
1571,4, danielehrenhaft yay cant wait see play guys rock
1572,4, gerridd goood
1573,4, working myspace page hating
1574,4, starting weekend right way listening hall amp oates greatest hits
1575,4, good morning twitter land
1576,4, misslyndsy good call bring gear use ones either way
1577,4, il mare sea das meer
1578,0, mina_berry okay continuously depressed
1579,0, cardinmckinney omg salt lake way really wish moment sucks
1580,4, hubuk erm would suggesting might arthritis make feel better hooray sun though
1581,4, getting lunch going perform janeway fundraiser come check support childrens hospital
1582,0, darealsincere yeah lasts like hours stay hospital night
1583,0, misses second family wish things could go back way used
1584,0, therockwell lmfao
1585,4, watching cheaters exciting hehehe x
1586,0, friendfeed search seems
1587,4, yesterday started fashion show w jen kate kachy delicious meal chelsea
1588,0, great day work
1589,0, kellzodiac feel extra unhip yet sad
1590,4, good nite morn hope ur followfriday productive tomorrow cheers many happy tweets
1591,4, durbindigital great day thx help
1592,4, sambennington youre welcome draven like name
1593,0, mknell sigh guess guys great parties maybe quot yay summer great view quot party
1594,0, win nahh fails
1595,4, aspo lol hi yeah bored haha made pie haha almost going sleep night
1596,0, wishing already tired working nites tori
1597,0, fair ppl get go beach others stay home
1598,0, wow french boring cant wait see jonasbrothers
1599,4, leaving home today nice trip post pictures soon
1600,4, spamponesall
1601,4, tevenire hey sleep worked really hard today rewarded dinner ice cream
1602,4, stevegarufi oh yes please lol
1603,4, watching friday th type films bit
1604,0, little depressed finding much taxes owe
1605,0, tvxquknow sad cry lot even restless hope see soon concert vietnam x
1606,0, tiered like need get
1607,4, cheth thanks love elvis
1608,4, mo yeah custom made ring power well movies released
1609,0, susan boyle lost pz check another singer gazeboinfo new twitter famous europe ty
1610,4, marinaraujo welcome
1611,4, tinkerbeela scripted reality haha good thanks go check myspace slight changes
1612,0, aianna twiiiiiiin flying leap hug ignored yest
1613,0, getting dressed go wal mart oh life thrilling
1614,4, successfully took bus stop shop first time got free ride back nice
1615,4, actually pretty good day knows tomorrow bring
1616,4, farming work lol nice brew
1617,4, ready start fun times epic weekend
1618,4, maddyjonasx es answers
1619,0, determined finish interactive treasure quest maps jacksonville com tomorrow evening server issues work amp working home
1620,0, itsmomobitchez hollister dude feeling ones work
1621,4, shelbycollinge hi shelly thank following hope awesome day winner bless quot
1622,4, hi twitter miss today time sorry maybe later evening
1623,0, itschristablack since made awesome sign way get rehearsal fri drove houston begging
1624,0, headache
1625,0, left coffee milk tea window sill temps low last week hot sunny milk sour
1626,4, charleswbrown oh ok hope chance talk guys show see later
1627,4, nanashambles stopping babe
1628,0, isanaka u goin u comin back foo
1629,4, work counting hours head north jersey
1630,4, amberstrocel thanks needed
1631,4, happy mother day
1632,0, lorfna actual favorite got eliminated adored
1633,4, lysssxo ahh sorry ddnt gt way gtg
1634,4, seanmarler good morning back
1635,0, heva__x nope seen lemar danielle lloyd boxer dude woman location location location boy george megan fox
1636,4, christine_marie dear totally ubderstandable u new loves life
1637,4, start charging people seeking lol
1638,0, keep dream teases end good true lmao
1639,0, really sad nephew keeping busy sorting items bwm
1640,4, hmm putting picture hard miss college grad
1641,0, poor norwich ta done even win
1642,0, need start packing stuff want
1643,0, heart goes people air france families
1644,0, jus woke time sum homework yuck
1645,0, keyring omg sammme friends going im away tho kings leon script katy perry snow patrol might cry lol xx
1646,0, suzieahn report back dried vs fresh fig question time cook till later week tho
1647,4, says heart beats
1648,4, kymellis topman minutes ago nothing caught eye really fussy work
1649,4, jacqherselman great wknd rugby guys super semi amp heinekencup final ya love rugbywknd
1650,0, feel sick
1651,0, start revising
1652,0, rain fell people laughed like clown street
1653,0, let think could get detroit b ddub finished giving tickets hrs kidding show would fun guys
1654,0, moutaineer waz talkn justin thank u much hurt
1655,0, really upset wish someone talk hating hospital room ugh
1656,4, djmagenta blush thanks pal
1657,4, shaynaa heyyyy
1658,4, bed round house tomorrow working hanging
1659,0, shemah hehe like tomorrow oso mcm teda mood ni wan na go padahal yesterday looking forward go gardens
1660,4, looks like sweetie
1661,4, rise shining lol mins later planned rush door time
1662,4, blobyblo post links stuff like write raps characters give us dirt mithra tukutz jk
1663,4, sandypeckinpah one reason love living orlando hate ground shakes
1664,0, chiniehdiaz chinie would post diet craving chocolate lol day going
1665,4, somebodysmother thanks follow friday mention learned means
1666,0, abba crappy long last done already peak think worst felt far
1667,0, rescued male lab retriever wants adopt free pls dm asap pls pls save puppy
1668,0, lcdgaf hell yeah wish greek
1669,0, finally installed new terabyte drive formatting taking long time
1670,4, lamale paprika cinnamon fries friend bought worth groceries last week cooked storm
1671,4, chavakn daammmnnn look guns bench press tanks designing
1672,4, jendisme love spending quality time honey
1673,4, joined twitter getting ready go sleep
1674,0, benfultongillon meant forgot missed
1675,4, laingrithdz thanks lot kind got back nice drive fun car drive nice day
1676,4, im class airam
1677,4, revision well tbh thats lie im doin little none plan som plan gets put action haha mabye never
1678,0, mupnorth months lol
1679,4, love hear pen drop around laker haters
1680,4, total blast chasepattison catherine wedding last night nice people loved photo booth
1681,4, boogeying jason song sa idol lurvely rock song
1682,4, jeperharpica seriously make twitter
1683,0, feeling really stuffy depressed moment stupid cold able sleep
1684,4, ashleyltmsyf ashley love keep good work tour xx
1685,0, shelbylynn erg cant send
1686,0, super hungry dinner
1687,4, another
1688,4, interview wit pikicentral wednesday
1689,4, clever_url besides beach worthwhile galveston please tell
1690,4, joescanlon well goes well month plenty time coffee instead
1691,0, juicystar awww thats cute going imats haul soon wish could gone imats live far away
1692,0, trying get door feeling less excited everything put
1693,0, soooo many voicemails return emails answer guess get bed first
1694,4, katiekuddles let jack happy party hahha retarded
1695,4, omg jihoo yamapi fan gasp reasons like squee
1696,0, whereisjrw need nap pills long please come home cuddle
1697,4, arngrim congrats protect children act catching news say congrats way go
1698,0, nubianqueenjay lol cant even figure background lmao shes laffin profile pic lol
1699,0, eddywashere poor little husband back worry
1700,0, wish could go full moon crazy tour
1701,0, kitchen drawer clutter chucked drawer sorted bit ocd times desperate find corkskrew
1702,0, juliaferraioli yeah gets mad wear sweat pants pool
1703,0, sitting work gloomy day love rainy weather home
1704,0, driven past race team base quot space available quot sign
1705,0, getting ready work tonight
1706,4, ehegenberger right always happens turn back ha
1707,4, feels weird hungover extremely tired sunday said cant wait hopefully get next weekend
1708,0, fuck really try harder stay sober
1709,4, extremely tired ashlee cant get aim morning going back sleepydeeps see natm
1710,0, broke dads computer
1711,0, hate packing
1712,0, damn getting followers slow sudden tell friends add fearnoone
1713,0, snephlovesyou one time yes
1714,0, eddieklive wish iphone
1715,0, know tweeting lot cat killed squirrel sad jessica ellen
1716,4, bbq house todayyy calllllll meeee
1717,4, lynnie oh pointing picture dog macho man sexy beast yeah
1718,0, bad headache felt right two days finish baking studying working hoemwork due tomorrow
1719,0, springandautumn yeah felt bad terrified know needs lay enless tweeting hehe
1720,0, sore happy cos get see doggy tomorrow wooooo missed lots
1721,4, dj_kellyann see fan twt fm niice
1722,0, heartbreakv nope
1723,4, leah_lyman lmao funniest kid know well kinda know lol
1724,4, shadism Ã£ Ã¢ Ã£ Ã¢ Ã£ Ã¢ Ã£ Ã¢ Ã£ Ã¢ÂªÃ£ Ã¢ Ã£ Ã¢ Ã£ Ã¢ Ã£ Ã¢ Ã£ Ã¢ Ã£ Ã¢ Ã£ Ã¢ Ã£ Ã¢ Ã£ Ã¢ Ã£ Ã¢ Ã£ Ã¢Â³Ã£ Ã¢ÂªÃ£ Ã¢ Ã£ Ã¢ Ã£ Ã¢ Ã£ Ã¢ Ã£ Ã¢ Ã£ Ã¢
1725,0, think broke twitter
1726,0, argh
1727,4, tommcfly hope fun guys know european fans go visit germany please lt
1728,0, st home sick bed gorgeous day
1729,4, catching day
1730,0, leannnee ii dunno gone
1731,0, huh dont like feel dissapointed think need away rm computer awhile lates
1732,4, driving pregnant guppy get dirt
1733,4, philcooke wow living lap luxury
1734,0, amesly_ well sad cause visit oh see goes sale
1735,4, kchasesimmons saw picture got blair witch feelin lol kisses
1736,0, tiacolleen feel prefer piece top problem bear worn suit since size
1737,0, smpfilms sounds like video hell many things getting way hahaha
1738,0, twitterfon app starting suck ass
1739,0, crap released palm pre today going working double time tomorrow answering questions wah wan na go work
1740,4, em
1741,4, focusing one gives better perspective trivial things life
1742,4, therealmischa j adore quot appartement quot really cosy
1743,4, seconds jayla starr got
1744,4, diametricdreams house
1745,0, pidgin kopete could connect yahoo know x_x
1746,0, going work
1747,4, wait see paramore sunday finished front shirt stoked say least
1748,4, land lost funny
1749,4, go sleep early tonight eyes claim fact saw many videos matter happy right
1750,4, hope good day
1751,0, anjawoood didnt tell twitter
1752,0, tomcook aww manchester today pouring rain glad umbrellas exist saw cinema like
1753,4, alexalltimelow excited see hopefully times summer know th show talking coughchicagocough
1754,4, grammarnazi ok long goose good
1755,4, realized comparing indian degree uk degree summer past days th person today
1756,4, jackalltimelow melbourne australia loves
1757,4, heading nj visit daniel tomorrow
1758,0, bad head
1759,4, mikeavila loves pretty tolerant letting interact much tho cause kittens still small
1760,0, hurt eye w mascara red eye look going
1761,0, askajanything diets suck sometimes one weeks see improvement
1762,4, work eat come home
1763,4, hollywills sun garden friends vanilla tea lovely combination tried licorice tea happy day
1764,4, nanisnap good planner
1765,4, voting complete bitch day title give twitter
1766,4, cjmgrafx used ej get first bit number crunching got asked prot palis answer ya
1767,0, ugh change font colour pop anymore stupid css want save
1768,0, lolly_b mmm prefered old dumbledore obv wont happen like sirius awh cedric died
1769,0, launch today teacher changed plans watched stupid move tesla
1770,4, djz sexy forget athlete want dj
1771,4, right go get shower walk dog thanks chat texanoutofwater bbl
1772,4, mate alot people follow dont follow em backk oh dear feel guilty reply follow something
1773,4, intoyoureyes checked nice site
1774,0, wants stay bed
1775,4, nothing like leading lakers victory games row nba ps
1776,0, crazymitchell know mean trouble sleeping last days planning sleep night got finish xml
1777,4, nooow really going yo bed night twiters
1778,0, feels like martini clock fact three thirty clock
1779,4, deborahbarnett ooooh making little sense hot heck
1780,0, damn lived dmv definitely applying next year taking apps lol jrg oneradiovixen
1781,0, freaking sleepy know went bed hrs ago headed back school finals days bad idea
1782,0, weekend ending fast grrreat homework tomorrow
1783,0, weather thunder woke mourning bad times
1784,4, buaahhahahah yesss
1785,0, cupcake direct msg phn text u broke interwebz
1786,0, juuuday come back blog miss
1787,4, india first woman speaker takes charge indian pm highlights point dalit still long way go
1788,4, hatz omg relapse amazing love beautiful sorry random ha ha
1789,0, sad looks like sunshine going away fb
1790,4, isaac crawling place
1791,4, get mind right shes back l e l g h
1792,0, still locked
1793,4, zomg chibi moon
1794,4, tracecyrus welcome believe weather always like
1795,4, everyone listen hadouken fun
1796,0, rp bryan rp mrswishatwista rp bryan crack mine threw mouth lil bit legs lol
1797,0, election day latvia local municipalities european parliament still decide
1798,4, rajinder yes
1799,0, othas b wat bitch huh
1800,4, cat allergies eyes watering hairspray matted hair wait get shower
1801,4, limkitsiang one judge judiciary make
1802,0, swizzlesqueak arghh sad
1803,4, vickycornell
1804,0, jason_mraz ok think sick stomach luv ur music since ny min luvr hater stalker fan yet crazy fantype
1805,0, chaps army two gay enough suggest even much subtext
1806,4, making lack drinking last night
1807,0, relaxing gettin wisdom teeth pulled tomorrow im kinda nervous
1808,0, ridiculous g night apologize tomorrow
1809,0, worked first time im feeling sick
1810,0, sleep
1811,4, good dayyy despite busking next week
1812,0, lmnichole know feels
1813,4, stephenfry happy birthday big ben grown much
1814,4, good morning someone say new ink read mind
1815,0, sooo tired studying hope pass
1816,0, anellefrancine whats wrong
1817,0, livin wrong side memphis thus concludes repertoire memphis lyrics food
1818,0, felt bad didnt reply darlin sms said abt berrie jus simply wan na ignore stuff abt berrie bitchy
1819,0, want justine go sam ever get eliminated gt lt masterchef
1820,4, better go nite fun soz ranting puttin happy face
1821,4, quentincoyote see ligers get pictures
1822,4, sampollock get followers day using www tweeterfollow com add everyone train pay vip
1823,0, shiggashay shiggashay yes michigan fair share hopefully flu way singapore
1824,0, verge something middle nothing absolute absolute shit
1825,0, tph gon na able make tweetup house thing hope another one sometime
1826,4, hanging davemcclure twtrcon pre party le colonial methinks needs catch sleep
1827,0, swear always awkward situations
1828,4, best youtube birds amp bees birds amp bees subscirbeeee amp leave comment make video tellin u fou
1829,0, woffles mages fucked arse patches see changing time soon
1830,4, jonnew b c hit well take back hit thru innings crying
1831,4, nikia year defcon talk going lots fun
1832,0, feel like hungover hate meds
1833,4, jeffreylhilton im liking
1834,4, bonniestwit ok goes certain ms snyder awesomegreatphenomenalthebesthotspectacularstunning mention real sweet
1835,0, niteguardianx aww one smartest people know
1836,0, thinkin make move bed got work tomorrow
1837,0, know hot outside damn got ta unit deep freezer feel legs
1838,4, tiphainesiovel tell lol
1839,0, wan na laundry much
1840,0, running late gon na ready til
1841,4, super xuxa versus satan lol itÃ£ Ã¢ Ã¢Â½s sold like trash movie
1842,0, dissapointed mtv movie awards maybe getting old
1843,0, thought heard something brutus
1844,0, ouch sun burnt topping silly idea believe mine look liek lobster ouch
1845,0, ill alot pain
1846,0, awww bless made cry
1847,4, johnlloydtaylor jonas hahahaha name mr costello coinkadink think go john taylor
1848,4, roleplaygateway ooooooo whats
1849,4, lovely mother day took mom lunch chilled home watching movies taking turns petting dogs
1850,4, seems sort working
1851,4, theimp hehehe g mornin add quot kind enough honest quot list quot hair okay quot quot um actually quot
1852,4, dinaaie morning hope best ya
1853,0, jackeetm lmfao sure mention name lucky amp g amp g
1854,4, happy mother day every mom twitterverse good one roadtrip postponed still queue
1855,0, really miss ya moon
1856,0, applied less jobs less week still interview
1857,4, ooh wait clock today finishin early today
1858,4, yowser celebrity wife swap promises good
1859,0, ryohei blog translation amp weekly update two entries week soccerseems lik
1860,4, macnc wear shade
1861,0, really wan na watch apprentice amp bb soooooooooo tireddddddd think gon na make
1862,0, finished nick amp norah book crazy much book reminds well norahs p v
1863,4, tenner lottery makes sun burnt backs legs soles feet itchy wore lotion
1864,0, back ironing amp tota fergus jumped sob
1865,4, jordieeee good thanks call stubborn bitch
1866,4, coffee break listenig streets two best things life
1867,4, im going bed zzz zzz zzz
1868,0, nervous hungry getting wisdom teeth pulled today cant eat anything blows
1869,4, atexasattitude think everyone deserves happy decide go back office life hill country
1870,4, freshplastic slept yesterday papi insomnia yes sir nearly bats eyes
1871,4, excited best friend come la five days
1872,0, days hard ugh
1873,0, mas_lo well good time us
1874,0, devins helpin study lots yucky day grad parties nine days
1875,0, going miss boy
1876,0, pizza alone never tastes good
1877,0, amystudabaker woke cats head
1878,0, _natearchibald good guess home alone amp also really coughs sick
1879,4, music drive home check full matt nathanson discography one class stands fam
1880,4, nakedsunrise chill ka lang two half months go
1881,4, ee_lynn lol ask watch hahaha laugh misfortune
1882,0, eightyfivemusic wish would say unfollowed
1883,0, oh time going slowly
1884,0, fed man man man
1885,0, clothes fold daily retail employee pro
1886,4, cheyennepaige well yes allllll better far
1887,4, swiftsafav hope day great one luv ya bunches roo
1888,0, ddaly yeh goood ok thanks ursellll fu paolo tonight goin go weds ill go day l xxx
1889,0, whoops mw behind rk f maxout
1890,0, valv take xanax issues
1891,4, got new car got new car
1892,0, yawns got work hour half good
1893,4, business canr stay away twitter
1894,0, heartsdesire yes actually actually dont know fuck dude stuck writing fml
1895,4, feeling confident haircut boring dowdy loving
1896,0, daveyjam gawge guys lucky coursework
1897,4, mick_rooney least bein thorough good luck matey spk u later
1898,4, esching got full day tomorrow get rest
1899,0, thinking taking photography classes signed one still waiting waitlist
1900,0, ipod froze hour drive tomorrow
1901,4, themehwarrior nd go find times restarted watch credits lot fewer previous anyway
1902,4, erionhouston obviously somebody feeling much better
1903,4, ahhh glad finally relax
1904,4, snowleopardess already done minutes maths working book report nature trail park next
1905,4, brother computer tonight
1906,4, goodmorning lovely tweets agenda today
1907,4, wheresitworking johnpkoenig back two followthyneighbor followfriday lt lt solid seo dudes even surf board
