,Sentiment,Message
52453,0,"wishes ma dad would hurry up with this fckin shower!  i need water, im sooo thirsty"
292906,0,"Bioware are the only thing worth a damn in the EA briefing so far. Still worried about Dragon Age, though. Looks so... generic.  #e3"
894646,4,@Willie_Day26 watching it 
896864,4,@THEflyGIRL you are crazy for that one!!! 
1170735,4,@UKFests ahhh to go to Glasto - if only!!! Well let us know how they are and hopefully they'll come to Oz soon 
421252,0,Oh E so heart broken  u knw I have 2 twit that I thnk my happy lil world crumble lmfao
718118,0,[&gt;] Taking Chances. 
1387098,4,@sarah_shi I stayed up till 4am watching something elif went around 3 I think. and why are you up at 9ish on a Saturday? hmm? 
1137818,4,the telegraph did a story on &quot;how to use twitter&quot; today. Do I really need advice on how to use twitter from the newspaper??? 
168120,0,Had quite a cool day with Charlie and then Ben aswell (: got lost and stung by nettles 
635043,0,@Mstiffevans girl I cnt think about tht my stomach is in pain. 
1426704,4,Ninga Turtles! The Teenage Mutant kind!  &lt;&lt; my heroes
1187094,4,@ebassman We are very excited!  Hope you have a safe flight!
77262,0,Back to the headaches and the hassles.  
876263,4,"In honor of Miss M's bday, mommy is celebrating with her first pedicure in a year. Turquoise!  @katiehaskell would be proud!"
1293929,4,"Beautiful sunny day can't wait to get outside...hope everyone has a great day, share some happiness "
114598,0,Aw... I miss Shannon... I wish he'd come back. 
634220,0,@amyishere  I loved that phone like it was my own.
863459,4,played tennis with little sis 
1403326,4,work. blah. maybe staying the night at my apartment 
373328,0,"I know you dont like to see me unhappy, but I cant help it. I cant just magically become happy... its harder than it seems.. "
1491057,4,@alan_smithee_jr Womongathering! LOL I've been talking about it for weeks!  http://www.womongathering.com &lt;3
65589,0,"Reporting on nutrition: rachel gorman of EatingWell. Sorry, @melissakirsch  #jbf"
1267375,4,yay i have over 800 updates 
1283361,4,@Leabella You live in FL and you are still up?!?  I save your myspace link to my favs so I can check it out for longer period of time 
1560439,4,"Feeling extremely tired. Also, frustrated by people being inconsiderate. Had a cute pharmacist! Bright light to everything. "
275249,0,so bummed. supposed to call Ryan this morn to wake him up and I missed my alarm. I really wanted to talk to him before he left town 
916693,4,@pcsketch It would be cheaper to take on The Spirit Of Tasmania (The ship from the island I am on). Busses are expensive to ship 
304071,0,@constant1change its not the same 
1564734,4,Tomorrow having lunch with a former coworker from the library at red robin. Fun times 
609544,0,@ exam 
895076,4,new Green Day video.  best band ever. don't care what you think.
357142,0,Will Ferrell was on Man vs Wild this week as a promo for the movie. The Wild didn't win unfortunately. 
1504335,4,hmmmmm Back to Office with a whole new Week.... thnking of starting with some new UI controls 
1098487,4,@dojau I like my red wine too! doesn't sound so good. red wine and wild women. 
966803,4,@rachelhart I would love to do the runway show in august. Let me know what you find out. 
135126,0,@RavenKStarr ~ There's no such thing as saving for me right now. I get paid once a month &amp; my check barely covers all of my bills 
52981,0,Is it home time yet. Dead now. Woe. Nothing to do 
469684,0,just spilt tea. damn. 
522649,0,"Dog still sick, boys still sick.  I haven't slept a full night in idk how long. I want a week-long nap fest."
664494,0,"@taracee A receptionist/office job for a non-profit. I've been going for pastry jobs too, but no responses yet. "
1286558,4,i should this more often. 
21269,0,"out of 5,051 people, not one has been able to give me a response so far as to whether there are any GLBT friendly guilds or servers "
1252845,4,is playing Sorry..at work....yep! really THAT bored! 
364470,0,Wasnt on the net much at all yesterday  Work today though  3 9am starts in a row 
995850,4,"@McLaren_eShop Fittipaldi, Prost, Hï¿½kkinen, Senna, Hamilton, Stewart, Hunt, Lauda  Guess the trend! "
534160,0,i do not like maintinence 
161085,0,"really, realy want a netbook. mrr. Techno-lust sucks "
1381500,4,oooooh i just found out the BEST news of all!!!!!!!!!!!!!! I get to eat....CAKE!!!!! i am in doggie heaven  mmmm can taste the cream now!
1128555,4,going to see Up with @neutronzenith. I like not working saturdays 
134701,0,"I'm watching 'The Notebook', and I actually find it sad  i'm not heartless after all"
1446735,4,is so happy 
1467566,4,@SOBADAPPAREL @kreativebug73 thanks so much for the kind words - it's all @kadesigns though  - she rules
61815,0,http://twitpic.com/4h8oc - Onsen!!! Ignore my crazy face 
1152132,4,@prayingmother Thank you  the weekend is going good .  How about yours ? Were getting beautiful rain 
1181708,4,"Babysitting! Twitterverse, say hi to my sister  http://mypict.me/2cfE"
321489,0,"@johnyeng Nope,  not in Italy anymore "
1566810,4,loves when you think someone has forgotten about you...but they prove other wise!  it made my day 
58309,0,trains are v boring 
756911,0,Took flu medicine. 
1189842,4,"Oh Target, how do I love thee? Let me count the ways... Superior non-toxic cleaning supplies, cute tanks, short sleeve cardis... 3 today "
1361835,4,"Finally! 3 hours later, hotel room booked! Awesome room too. "
787225,0,@seblefebvre congrats! i wish they showed the mma's in australia  did yooh guys perform?
1558772,4,in cooking with aaron 
636360,0,@JulianaMercedes same with me..it sucks schools endinggg 
1306757,4,"Shit, the new Unicorn Kid single is to die for! "
1556363,4,Photo: FOR U MEME. DONT CRY! lmao  ILYYYYYYYYYYYY! http://tumblr.com/xqv21z27t
1041256,4,Headed to cha cha cha's in silverlake to meet up with Yasi 
1247013,4,@cookitalian Thanks 4 the follow Andrew! Look forward 2 your delicious tweets  Get inspired to get my cook on! Cheers! Matt
402411,0,"@sushilicious Yes   Populations crashing, scientific advice and quotas ignored in favor of $$$.  We stop eating it or we lose this fish."
964786,4,"Laid out most of my Annecy, France scrapbook pages!  One city down, Avignon, Nice and Paris to go!"
1513572,4,"@bendog Yes, it is the new model "
100886,0,Trying to source hemp paper by box reams - last place I purchased from in Canada is out of business 
356922,0,@billbeckett @siskybusiness @MGChislett WHY ARE YOU GUYS NOT COMING TO SINGAPORE TOGETHER WITH ANBERLIN? omg we are heartbroken 
892808,4,@springtree We have excesses of furniture (mostly hand-me-downs) wish I lived in your 'hood so I cld give you some. 
1199924,4,@mlwebb &quot;Is that digger&quot;. Who is Digger? is he one of yours?.... its &quot;Mona&quot; http://twitpic.com/65hsa  @juliarygaard new cat...  
1133599,4,Hangin out with my @andrea_mcneeley 
1588617,4,Discovering what the Twitter buzz is all about 
1069442,4,Dancing lotus were fab!! My birthday soon too 
1384281,4,"@ashleymoran Actually, talking of accidentally bumping in to organizers, @Ianibbo has been known to pay a visit to the Sheaf. "
1156932,4,? ????????? ? ?????????????? ??????? ???? ? TweetDeck ???????? ??????????? ???????????! ? ?????????? ???????? ????? ? &quot;Original Fonts&quot; 
1359739,4,@eschuds Yay Emily you have Twitter! Very exciting  Hope your summer is going well so far... hope home isn't too bad... lol
157104,0,My back is KILLING me!!! I need a massage! 
448942,0,have a headache and it won't go away 
1255025,4,Money Honey- I love gaga in the morning 
896494,4,@ced41 omg i just started watching it. i would have killed to have gone to it! She's my all time favourite 
376092,0,@jessicaveronica i didn't have anything 
498991,0,when you a re gone    
533863,0,amazon just wrote me that i have to wait another month for &quot;New moon&quot; to come  I want to know more about edward right now! Am I addicted?
1433321,4,Well...this is more like it  5-0!
822324,4,@Ms_Martini free from work.  lemme know and ill plan something funn.
508842,0,#iremember sophomore life. I miss it. 
850289,4,"Hi twitter friends! If you are in the pet business or just love pets, add  your business or build a profile free on www.vivapets.com! "
263655,0,"My lil man and I sharing ear buds bobbing our heads over here, prob gonna have to watch breaking bad when it repeats. "
998455,4,"@DivasMistress LOL.. what people dont realize,if they are collecting a pay check.. they are whores to society too  Diva..I love you.."
630748,0,IM READI TO HAVE FUN BUT I DNT HAVE 1 FRIEND THATS DOWN WIT ME...I HAVE FRIENDS BUT AINT NOBODY ON MY LEVEL  ROOOAADDTRIP! LOL
1345839,4,@jsmibert itÂ´s heÂ´s way of telling you everything itÂ´s gonna be all right 
857463,4,@tinafightsfire 
852008,4,is wrapping up the day and ready for the weekend 
854846,4,"@Hapson ah lovely  I think I'm gonna go out at some point as well. You're right, too nice to stay in!"
627471,0,'Design Analysis' save meeeee I'm so bored! I want swine flu so I can go home 
1517337,4,@Almienova ok I'm coming this sunday now 
1497181,4,"watched Skins for about three hours, so now i can go to bed...goodnight twitter! "
704874,0,http://bit.ly/QZmGO - huhuhu byee george o'malley... it's going to be a loss 
346264,0,"Good morning guys, gotta get to the office early to search for papers from 2004 in storage "
139957,0,goodbye cruel world  *tear*
818641,4,Actually its mint and coriander foot soak with some lavender and black pepper muscle soak crystals added for good measure  BLISSSSSS
735776,0,"One bird dead, another starting to think about going on a trip to Hades. My sample size! My poor power... "
859450,4,@djR3Z awww...thanks bro!!  You'se the bestest!!!
719922,0,So olive garden breadsticks are awesome. I'm fat now 
156528,0,oh my what a wonderfuly rainy morning 
1382273,4,@GillFrayne thank you - looking forward to getting to know you. 
67719,0,Nite nite twitter bugs.Have to be up at 6am &amp; it sucks cause i'm not a morning person.Big math exam tomorrow(judgement day for me)lol 
912584,4,@Nora_78 I'm sowwy u have to work w/an idiot. I will call u if u want. Just to break up ur day. 
460911,0,"Time to sleep, tommorow work till midnight  any one saying that game tester is a easy job is a fucking idiot !"
209930,0,Aww  you didn't make plans for this weekend?
506148,0,Isaiah is really bored and has nothing better to do than tweet..... 
631329,0,I'm hungry....but i promised myself no eating after 8. 
530386,0,@ArnBru yeah I'm wrecked! Early night for me too! 
1336572,4,"I'm gd. I was busy ths week, so I was doing the same! I'm glad I get 2 C U. I hope everything is going gr8 4 U!  @glwallace"
1511181,4,umm im new and i need help 
1042504,4,enough partying for mi..on my way home to @RBMason009..tomorrow ill be back on the OTHER side of the bar. yay home sweet home 
880845,4,"I dun lost my mind, "
313421,0,@SHAYNEWILLIAMS yep! Lol where's my pics 
606634,0,"Supposed to be going to the Liverpool Tweetup tonight, but won't be able to make it. Was looking forward to that as well "
370221,0,@Blackbart99 aww.. She doesn't really drink 
1208990,4,"@sweetlilmzmia Well, its like a bear... which eats bamboo "
919369,4,good morning tweets 
1165677,4,I finally find my prom dress 
279678,0,@earthcrew Doin good. Driving to work 
189466,0,I wish i had a boo-snacks! 
1414956,4,@mileycyrus haha miley you just made my day 
1344531,4,"Watching 17 Again and NCIS: Ex-File  at different times of course. I pause the other while I wait for that one to load more, lol."
951715,4,@yaeljk k start the business! I'll be your partner and run the Canadian headquarters 
1020109,4,@stfallen as true as that sentiment is TBH I thought you'd recognise where that one was from 
1321772,4,"@Gem_W Each to their own, i suppose  I don't like biscuits with soft bits in. That includes your choice, curtard creams, jammie dodgers.."
993977,4,@b_kelly off to great start girlie! Have a great day! 
1053521,4,@sisoma @billder Happy Anniversary! It was a wonderful wedding for a wonderful couple! 
604098,0,really wants live in berlin on dvd 
976207,4,@tonhiebear lets meet halfway. i am not going all the way to sacramento to study human biology. lolllll. but we can hang out 
388788,0,not being able to upload a new profile pic on facebook.. 
604961,0,@kirstendavis oh dont complain too much! i was up at 5:50 am and i got little sleep! 
1075025,4,Wishes he had more of a social life rather than updating this on twitter .  Know any single people who like Bowling or baseball? 
1216692,4,@Daddys_pet nice  i look forward to it
829039,4,@jordanknight Can't wait for the Summer tour!!!  Enjoy your vacation!!!  
1298933,4,@edwardhwc we should!! Road trip!! 
548325,0,Soooo mad at my mom. I h8 her I'm moving 2 my dads. Fricken BITCH I will always h8 u 
299668,0,"R.I.P Austin Dale Anderson, my little brother. "
57299,0,serious &quot;Cool Beans&quot; problem. I keep wanting to say it... then remembering that no one in the &quot;real world&quot; gets the joke... 
1212584,4,phones been dead all day. dance flic and up  earlier lol
16289,0,@nikesonblast mang i would come visit but just got ur tweet and im back at carrick 
975478,4,FINISHED with the paper....now just Renaissance Art 
1153097,4,"@ronaldYP Hey, i'm fine.. What about u? Grate pic  I love SelG."
450499,0,God dammit 
849475,4,getting ready to go see my adorable niece 
855757,4,ad: The smart way to promote products and services on Twitter! It really works  Try it now - http://be-a-magpie.com/xygbn8
751199,0,buttons are stickin  
714851,0,Nah night tweeters. Still haven't got anything to wear. Work experience on mon. Life is bad  still.. Living with gie next week 
860599,4,Just returned from the forest! Sarah (my merchy) lost her keys in the woods! what a day! 
1578075,4,"cant wait t go shopping tmr! Im so lacked of clothes. Ahhhhh. Heh. Gss whoo!  Love going out w mom, she will just slash her card :&gt;"
1361246,4,"@officialnjonas On my mind all the time, it's a crime, I can't deny it's true ,cause I got this awesome, amazing crazy kinda crush on you "
772222,0,"I'm pissed of about what's happening in Iran! and i just watched Neda Video, and feeling sick right now, wanna eat ? No thanks "
1150477,4,"@babygirlparis To use your man, seeing your man, &quot;Now that's HOT!&quot;    Who cares about the haters!"
1223245,4,@fruitdance ooh well i do enjoy a bit of wtk. even if it means no nate! &lt;/3 and the mtv movie awards are on tonight for us. 
1505709,4,"@realgeeksride 167 miles w/loaded bikes?!  Oh, you are really my heros now!   (Don't want to hear your legs fell off along the way...lol)"
1560374,4,I can't wait to see bruno!!!! &lt;3 
415547,0,I wanna be in California already!! August is too far away 
323150,0,I got Mugged 2dayy by a seagul  It stole my Chicken Bake :p SCARY EXPERIANCE!!!
688566,0,WHAT THE!! TRAVIS MCCOY IS HERE IN MANILA?!?! SOMEONE TAKE ME TO WHERE HE IS!! @kittet I'm dying of envy right now!! Seriously 
121145,0,That stupid earthquake broke my pink Russian Princess Karinina antique porcelain doll circa 1927 that belonged to Shirley Temple 
1204910,4,on the road back from six flags. Eric is a goober 
1472968,4,YUMMY eating cookie dough just delivered to my room by @deaaly THANKS 
146750,0,"@JoliciousJewels  sat here knitting at the mo,  in a bit of a bad mood, think it's tiredness thou so no patience 4 sewing today "
1472101,4,Well hopefully I will go someday - with better company. 
759337,0,@tinamitch: are you kidding me!? Again!! I guess I cant come home for lunch 
507107,0,I am going to punch this goddamned computer screen soon . . . 
1539874,4,back from the docs office  they finally cleared my dad
898083,4,May 4th - 24 days until my birthday.  This is year 1 - I have seen pics of my 1st birthday and I had chocolate cake EVERYWHERE!!!!  &lt;3
24792,0,"@AshleyMcCarty Haha, I hear ya! I've been slacking so much and skipping most classes... and that's not a habit I want to form "
399941,0,@speakforme get out before it gets you. Dude. I have a serious problem. I'm contemplating having chocolate milk.  what should I do?
432315,0,oh how I hate throwing away old stuff  ...
504780,0,Spoke too soon  Busy time. x
902009,4,@neillavin300 Ok well from the pic i take it you do. Thats unlucky . Lmao 
750046,0,Found out my daughter is allergic to Jell-O! 
638463,0,Dentist appointment 2morrow... I fear the drill 
238719,0,Back on the road! Heading to delaware for the night. Today's david cook hangover day. Especially since last night was our last one. 
721554,0,@LDGourmet I think they felt a need to move them to a protected place. There are only a couple of hundred in existence now 
1447234,4,@amanicka hahahahhaha are u mom a munster? or she's watching the munsters too 
1447855,4,@whoopywoo Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip 
929012,4,@aaron1seel Seqouia?!  That's gigantic!  What happend to the days of the little yellow convertible!  
124648,0,serious bug on SCalc OpenOffice 3.1  reverting to 3.0.1
896214,4,"@AdamWelker Heck no, I have played this game more times than I can count  Actually I consider it my favourite game of all time."
1058625,4,At least I have a 3.8 
467189,0,suffering from hayfever 
189113,0,"I think The Fashion Show is a project runway knockoff, and seriously lower classed "
872475,4,@pony_und_kleid  ...but the german *90210* voices are ok! 
1445745,4,Gonna try to get some sleep. Ren Fest in the morning unless my family feels like dying by my hand. Night all. 
77284,0,ugh... I need to sleep! im such an insomniac 
826762,4,"So I picked up this stray cat on the street, and he and Olly seemed to hit it off. I may have a new family member "
1453274,4,@mikesawriter its brill thanks - cant complain at all!  pity the weather has turned... drizzle and overcast today - been busy ?
295724,0,History Exam in 9 hours!!! Wish I could get to sleep! It's so hot... 
314225,0,Chilling in the garden... Gonna revise soon methinks... I really wanna just sunbathe thoooough 
141683,0,Trying to win tickets to see &quot;No Doubt&quot; on Chum fm... I lost 
915776,4,@Dnldub Hey! I am back.  Been listening to retrorewind.  How you do always know everything. 
1463575,4,"@sammi_jade heyy hun, wubu2, saw Richard Hammond yesterday at waterstones at brum   haha you good? xxx"
918181,4,@vonnvonn why thank you. Couldn't resist it 
1334809,4,@laurenfaiai How do you play speed scrabble? 
702984,0,my phone isn't working... without a phone as of now 
767659,0,anyone want to buy me an ipone 3GS??? lol plllleeeeaseee 
404375,0,"@Sparkly_Devil1 Yeah, but I'm kind of in a huff with most of our players.  And he probably won't be our player for much longer anyway "
923620,4,I haven't tweeted in years. Hi Twitter! I'm gonna go mow that lawn! 
1091099,4,"@JaDoodles I think the next pixar movie will be Toy Story 3... I have some reservations, but I have high hopes. "
388404,0,@ginacena @aah1981 glad to see y'all had a good time last night! Too bad it rained again 
209768,0,"@dubbayoo No  Already awake and dogs pottied, methinks I need food. Always moar food!"
371958,0,Oh  my best friend cant come to my birthday
270213,0,monday is draining the good feeling from the weekend 
1413478,4,a beautiful Saturday morning. And I'm awake BEFORE noon to enjoy it! 
1075166,4,@shelleyryan Thanks for the info. I'm a big Pixar fan too 
1351856,4,I think I'm going to be on kdhx in a min or two promoting our show Tuesday 
237126,0,my tooth aches 
1189549,4,family biker picnic thing....Eminem is performing tonight.  and its my sisters 21st birthday...about it.
789250,0,a tad bit bummed about not seeing my lover BEYONCE last night  .
722833,0,well thats is for me.  leg hurts   night every1
1242470,4,@NathanJager Either your boy's really tiny or everything is big in Texas! 
131158,0,@elysion32 and I am so sorry at first I thought you were talking bout the next day after noon lol so I just kept listening to the music 
237780,0,Back to work after an awesome 3 days off  Also I played the best game of pool in my life last night!
978921,4,@BostjanCizelj welcome back! 
1149030,4,@darkknight89  i luv u more 
1357102,4,@erincollins only be nervous if its your foot making the noises 
467572,0,@darnaudguilhem Ah oui qd mÃªme ! que de stats - big is watching us !! 
1539024,4,@dirtysouth909 sign me up for one! 
829909,4,Two hour driving lesson now  gonna be good I hope. Test is on Wednesday :o
995751,4,Good morning! Should be a busy day- I hope everyone starts their week off right! 
77684,0,@lonemat  oh bugger. i did not think to read..  *sigh* i'm sorry. i ok now..just getting a little upset at things..
480627,0,@michellelynn69 you took your hot body pic away  I didn't save it
727903,0,Woodhaven keeps me from my one true love in life.    fast food 
1218095,4,â Must go..Twitter soon  â
1154472,4,@kirstiealley. Louis wants us to come to his #dance class so we can sweat our asses off! Plus check out my pics. Gilles Marini was yowza! 
378908,0,I miss people already 
738912,0,Bloody Evelyn Cusack 
935194,4,@Brent007 that's always a good agenda 
1256986,4,would love it if someone delivered him some dinner tonight!  &lt;3 @shopatchakra
328527,0,@MsButterflySC Sorry 2 Hear That  &quot;Punked Out&quot; U Think What Yall Had Was Real? Think He Got Scared Of Da Real Thing? Or Not On Same Page?
19577,0,"Back to schooling tomorrow, pre-police course at TAFE. Lookin forward to meeting class mates, not lookin forward to 8:30am start in city "
1380175,4,I'm feeling so happy and blessed 
1279729,4,"@dewantiaditya haha, thank you "
1024121,4,@AstheniaRocks.. what about you? Nice day? Bad day? See me soon?  I'm looking forward to our weekend!  might buy a coffee table. O_Olux
676241,0,@TheAffiliateGuy Cadbury's gone from 250 gr to 200 and wrapped it in cardboard boxes so it feels heavy FFS 
886315,4,@SARGE_PAULNE is the text big enough ??? lol going to make a new banner now 
384194,0,"@all sorry for the rant, but some people shouldnt provoke me so much "
1275783,4,* I LOVE @Jennaschubart  on Twitpic: @ddlovato http://twitpic.com/6g3tt - You look gorgeous;) [more]Tweets: 20.. http://twitpic.com/6g3tt
778517,0,"@shanadhillon Awe Shanee that's awesome you gave $20 to a homeless guy. I would too, especially in this economy "
692323,0,suffering bruises from yesterday's reality nightmare .. god.. 
1217620,4,@JennifeAniston I'm fine just have a lot of reports &amp; tests!! 
878813,4,reading from @time http://tinyurl.com/caqxta -&gt; very cool! Thing I'm going to tweet through communion this morning... 
1134694,4,thank god for best friends! They can always cheer you up ! Love you angela thanks for being there ! 
166548,0,is back home now      gonna miss every one
267268,0,@MxOKreis No prob. I can tell you're frustrated. 
1546969,4,"@tammielynne that is an awsome goal, should inspire some really good homework sessions "
753316,0,"@bondsbustyblond the worst of it is,that the lving of my flat gets all the sun &amp; so stays hot all day "
597254,0,@Jiggolo i DEF tried to get that info for you.  buuuuut can't find it :/
977296,4,is thinking bout yoo 
616589,0,@JayElectronica Plano police at their finest... and this is the &quot;rich white area of Dallas&quot; ... so f***ing typical...  welcome to Dallas
1553790,4,"@serenajwilliams I think you're totally buff, and this annoys my gf. Please tell her there's nowt wrong with this "
108115,0,"I haven't left yet. But I miss home already! Ow, so much for being a baby. I've got to leave after twilight. "
1101444,4,@fivesparrows Great pictures!  Looks like it was very productive and you had a great time 
369406,0,WOW's customer service has slipped a bit. They can't get a tech out until tomorrow afternoon?  I'd come to expect more.
1552188,4,i am not dating liam! we have a kissing scene on the beach today  im just working  not a bad job huh? haha
1507022,4,@dt_downunder congrats on the new car 
292542,0,must put down my book again for a long night of city council meetings. 
812435,4,"@panacea81 Wow, that's really really great. Nice job. "
614111,0,must like vacuum my laptop its all dusty 
962324,4,is at home and ready for my dance recital 
736623,0,more summer research project fun!  NOtTreally.. But education is Key.
20164,0,"@ItsJamesNewman When I worked at Target, I found one marked down like 90%. I put it aside to buy it, but never did. "
963575,4,"@Lykke_Li GM Lykke! What's new with you? When's the next Florida show? Preferably, Tallahassee, FL! "
1587313,4,"@JennaIsWriting Yes, I was able to watch it last night! Very exciting! "
351027,0,so bored today 
868064,4,going to a wedding 
1495910,4,"@KerryCATTELL Sorry you're ill, feel better soon.  I'm fine thanks. "
664894,0,n she's got everything that i have to live WITHOUT 
1250957,4,"@lukemarsden hey, great to see you and rebecca are still together  goin 2 be seeing you 2 on the t.v soon? maybe a katie+peter style show?"
291600,0,is not wanting to go to work tomorrow!! 
643495,0,"Ready 2 Go! But, I don't want to "
80192,0,i keep bitting my lip  its bleeding
66873,0,Long weekend a lot of baseball games got rained on twice. Great church!  Momma D not doing so good today. 
1568751,4,"So, i really sleep last nite. To excited lately. Well, its 11.30am, and im goin to take a nap in. Woohoo, napping on my bday! "
301850,0,@lilvvatt Hey! Lol. Time to study! 
92709,0,My mobile balance is low  How the hell am I supposed to tweet at school??!! ;P
1324566,4,love turns to hate... then back to love! smh! But this time I know what I'm getting myself into!  &lt;3 g'nite!
1010206,4,@moviegrrl - This one was addressed to Dad...who has already promised to vote Lib Dem on pain of death 
773697,0,really hates being single 
776937,0,"Hubbie Jay and I got caught in a thunderstorm trying to go to Transformers, which ended up being sold out "
1024391,4,at work and looking forward to the long weekend  
1044092,4,off to the itty-bitty Bavarian Disneyland 
347871,0,At the doctor's office getting a strept test. 
212394,0,"@s_constantine: oh bloody hell it is slow, really hard to get the diff out "
562889,0,@scurvekano My profound sympathies. No gamer should be with his games 
22528,0,6:30am still no sleep  i dnt knw whats going on with my sleep track  sleeping too much and im not gettin out enough
1326131,4,good morning twitter 
1068144,4,"@coreyanderson haha! But you are, going for a new career move! Good luck! I see u worked @ KLBK! I LOVED Lubbock! I Went to TTU "
1134150,4,I now have this weird hole in my mouth and it hurts! But eating frozen yogurt and popcicles all day doesnt seem to bother me... 
58680,0,@saltyshutter as nuts  hope you got some awesome shots to make up for It.
170626,0,Ughhhh...mad as ppl make me some times...I don't like 2 have 2 do yucky thngs  I am NOT cut out 2 deal w HR stuf...ppl's tears kill me! 
1075493,4,@kimmer12378 Hope you're enjoying vacation 
1082450,4,i saw UP! it was so cute  kind of a tear jerker lol
1297099,4,Yeah they are gonna stay here. Which means they are gonna get spotted somewhere soon 
1092359,4,I'm loving boom boom pow's video clip 
1349543,4,@JadoreLeDiva llb tru tru .. lucky .. lmao but i like candy 
758098,0,"@paula_abdul_fan Awwwe, they totally suck sometimes "
1015427,4,"happy, cause boyfriend will come over and tuck me in tonight "
879000,4,"@milestorres I try to minimise it, but fortunately I'm in a job that necessitates being on Twitter from time to time "
1284535,4,@springkoh THANK YOUUU!! 
170127,0,Spilled chocolate milk in my car 
907651,4,"@Sweetnote Smooches to you as well, have a great day!  "
1532965,4,@selenagomez wow! NY  what a nice place sel!
1438960,4,@ShawneyJ Sweet! Have fun tomorrow 
147348,0,@whoppergirladv I uploaded the wrong one and now it wont let me change it  
716267,0,i think start of something new was the only song zac did himself and it makes me sad. 
899263,4,@TheGazzMan Oh nice! What's her @? There's a tweetup round here this week 
843287,4,too much excitement for one day... going to eat mexican 
248773,0,@mark_doze this is true 
151183,0,@KellyG5 Have you tried adding yourself? I just tried to and it gave me an error. 
346225,0,pipped at post on prop we saw last night and offered refused on one we saw last week. Prob being unrealistic with our offers 
80870,0,okay good night twitter. i`m soooo sooo soo very tired. i can`t even stand up  byyeee
486998,0,@love_crosby87 i wanna buy a kris letang autographed blackberry curve 
300688,0,I got a headache 
1168685,4,Good morning my followers and friends!  I hope your Sundays are beginning well for you. 
655014,0,got my ipod in for the 1 1/2 hr left of my work day! YaY! Its George Strait right now! Damn I ddnt jump on getting tix for his concert 
1288649,4,is DJing a new mix for my car  woop woop
1251537,4,@ddlovato nice  i hope u gonna have fun! Where r u going?? Pls tell as!
1269561,4,Love the new Pocket God icon. They get better and better with each update 
386476,0,is sure that he's texting that bitch now  http://plurk.com/p/yvaqt
41458,0,"@TomFelton other than ur teeth hurting  hugs, how r u this morning?"
1129518,4,the curtain has been unveiled.. hope things shape up in a better way now 
835441,4,@LoreleiSpencer Watch the video! lol 
911471,4,Time to get off the puter. Nite all. 
531048,0,Tap tap tap tap revenge!!! Leaving on Thursday. I'm really gonna miss some people...  But I'm gonna have fun!!! 
1265490,4,"@GiftznGreetingz Yep, better catch up! "
419255,0,Reading: really want this  &quot;Lifehacker - The Minimalist OS X Desktop - Desktops&quot; ( http://bit.ly/kHokK )
1414149,4,Special Thanks for #followfriday luv!! Have a gr8t WE!  @chriscorradino @BoydGreeneArt @djrunnels @SarahHorvat @jimsmeltzart @debflood
681317,0,My car is in the shop for a new catylitic converter...  
282493,0,Anyone else having problems with LJ? I keep getting Page Load Error no matter what I do 
313757,0,@Viki_T - Know that feeling hun 
1068808,4,"gotta get ready for the day soon, shopping with the sister and the motherr "
803153,4,"@LucasBlack Ah Lucas! Thank you babe, that answer works for me  MWAH xx"
1123284,4,"@bronxbebe4488 Hey you! I've been wondering how you're doing! I haven't been on AOL in a while, but you've been in my thoughts! "
771957,0,on my way to the hospital.  why am i so sick?
72256,0,Low carb diet is a go. Hopefully that means about 6 weeks till surgery if all goes well. My tummy isn't too thrilled tho 
1092919,4,I love Clue. Such an amazing movie 
937936,4,I am now a big fan of David Archi. And I have made a Twitter acc. all because I heard Pia Guanio mention *Twitter* in EB awhile go. 
1396055,4,@mikethemiz we all thank you for ya hard work miz.. &lt;3 haha.. 
359693,0,@HARAJUKUBUNNY I hit u when I started my day boo.. Ur busy body ass prob looked right over it 
1014034,4,False alarm!! // I found them... 
1106397,4,@TomFelton ever since the borrowers ive luuuuved you 
1042441,4,@Rawsul fire an email to editor@fuelyourapps.com w/ a bio and some proposed topics and we will discuss. 
18924,0,Ill just have to get my san jose tomorrow.  I'm starving.
176773,0,I was just asked by a suit where i was heading to. I didn't think i looked that much like a whore 
1565466,4,Hey all. Follow @EllieBartkowski !! (my twitter jail account for #chuckmemondays ) 
1352178,4,I found a four leaf clover today.  
1488131,4,@s3dooya I just re-re-revised the prediction. Didn't you see? 
298143,0,@shell_here  hope they sort things out for you soon 
1079894,4,with my baby lexi-- back from banquet-- gonna miss everyone-- &lt;3#54 AND #14 
684266,0,@HarryHermionelv awww  do you really take nerve pills?
78167,0,Someone get me a CycloDS Evolution for my bday so I can play more games other than FF4 on my DS 
353282,0,@remysweets i'm trying to get her out to alhambra palace tonight... wish you could go 
383031,0,missin my man 
623177,0,"Bummer, the phono preamp on my receiver is dead.  At least Expressway to Yr Skull is on #WMUA to cheer me up."
661372,0,Nothing  FU
792589,0,"@PLPhotography cool thats wzzup, damn u saw it already lol , I jealous.. shit tickets prob sold out this week "
114935,0,@GrabeelLucas @alysonstonerAS     hey will you guys be one of my followers??? please  
571382,0,Missing my baby 
1412020,4,Previously on brothers and sisters... All day long 
756775,0,It official - my finger is broken 
903854,4,it was t4 i think hannah  xx
